"lat","lon","created","text","language","n_followers","n_tweets","user_location"
51.508863,-0.265492,"2014-07-05 07:29:04","but this As its my first Tour de France Im","en",60,438,"London"
53.80314,-1.542609,"2014-07-03 12:15:50","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","en",25,244,""
0,0,"2014-07-06 18:37:12","Hello today was was in York I am a amp","en",640,1886,"Yorkshire England"
54.041249,-1.565414,"2014-07-05 09:20:11","here we are at Ripleycastle http","en",18,165,"The North"
53.990556,-1.799216,"2014-07-06 12:31:03","Another great day tdf http","en",328,7132,"Harrogate/Loughborough"
0,0,"2014-06-27 10:13:51","C Froome R Porte G Thomas B Eisel M Nieve","ht",1483,7700,"Merseyside"
53.446116,-2.133732,"2014-07-18 07:29:09","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","en",446,2512,"Denton, Manchester"
55.011296,-7.329353,"2014-07-06 16:00:58","so much for up DCFC are 10 thats what TdF","en",774,9554,"Derry,Ireland"
53.306013,-3.521509,"2014-06-28 23:59:51","and that will be the end of the we need","en",140,1163,""
53.349319,-1.425972,"2014-07-02 23:20:05","Epic cycling Did a of TdF stage 2 today amp","en",2023,11569,"Sheffield"
53.994359,-1.533145,"2014-07-06 18:40:11","but this As its my first Tour de France Im","en",686,4016,"York, UK"
54.758227,-1.333082,"2014-06-21 20:20:34","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","en",268,1576,"Seaham"
53.391499,-1.438477,"2014-07-06 16:27:23","Hello today was was in York I am a amp","en",1692,7883,"Sheffield"
53.495668,-1.280861,"2014-07-06 15:09:29","here we are at Ripleycastle http","en",1145,3858,"Mexborough"
53.563056,-1.462344,"2014-07-06 22:07:00","Another great day tdf http","en",324,4788,"Barnsley (Built in Lancaster)"
53.804788,-1.549924,"2014-07-05 14:30:25","C Froome R Porte G Thomas B Eisel M Nieve","en",1348,19799,"Leeds, United Kingdom"
50.788241,0.048846,"2014-07-07 08:02:18","Tdf13 to Chamrousse Cmon Movistar dont make it a Tour","en",43,1179,""
53.971447,-1.532588,"2014-06-23 08:47:25","so much for up DCFC are 10 thats what TdF","en",24,368,"Mainly in North Yorkshire"
0,0,"2014-09-28 18:12:44","and that will be the end of the we need","en",1221,10268,"England , Kent "
53.99019,-1.505861,"2014-07-04 03:57:24","Epic cycling Did a of TdF stage 2 today amp","fr",1822,13978,"North Yorkshire"
56.219568,-3.448825,"2014-07-13 06:38:38","but this As its my first Tour de France Im","en",1304,85224,"Greater Manchester"
51.55206,0.463809,"2014-07-07 07:50:19","Great view from 2 YB office TDF2014 TDFyorkshire leeds http","en",187,785,"Essex"
53.959714,-1.082785,"2014-07-06 10:01:42","Hello today was was in York I am a amp","en",77,1089,"Los Angeles & Orange County"
