1,Holy shit I would not like to be in New York right now Big up to you Yankees NA NAricanNAndy,57.59171318,-3.71710255,30,7,48
2,Idonttcaare Eric is aNA to get unNAed for all tNAe Hurricane tweets AHurricaneSandy sNA NAing shit,36.8450293,-76.0167259,27,1,17
3,"Was this left oNA from Hurricane Sandy 
NA",27.70850256,-97.32304827,4,3,38
4,Good NAg My NANAts and prNArs are with NAse in the NE impNAed by Sandy  PanNA BNAd httptcoNAYYrRT,35.84017724,-78.64291549,30,11,14
5,Fort GrNAe Park NA brNAlyn sandy   Fort GrNAe Park httptcoM71ZdqIR,40.69118179,-73.97480965,30,14,40
6,I NAder if work has power yet O wait it NA mNAer for me lol Sandy NA,41.3804309,-73.791808,5,12,1
7,IsaAzarola NA no se NA si sandy es un tNANAe de NA NA y NA,43.24370563,-2.93062233,1,7,21
8,The good sis Sandy came thru for me httptco6Q30cKwO,40.74391904,-74.24771154,27,22,20
9,Nice to see the LES back in NAion Sandy your day is done  Dad Im not NAing aNA you You hNA NAy NA an httptcoLZyAf6Fs,40.720914,-73.99103,4,1,48
10,Obviously I NA NAy NA on the Sandy SuffeNA MeNA For NAt Im NAnkful,40.91280435,-73.89662703,30,23,40
11,sandy NAricane usa sNA sad NA NA  NA NA NA love NAscus   Hawalli httptcosKyAIkK6,29.32716741,48.01898268,29,0,20
12,Bored Bired bored Praise The Lord for the InNANA HurricaneSandy,40.81777083,-73.95001107,30,18,52
13,Why do I hNA to NA dNArNAed by the NAricane wNAher sandy,44.52784643,-73.17446209,29,23,9
14,Who the hNA naNA a NAricane Sandy,39.36806553,-74.57211521,25,23,43
15,ENA NANA NAricanNAndy is NAnding at my winNA Im hNAg a good time BlNAd,38.75243093,-76.95403761,30,3,54
16,AP AP Video A fire fuNAd by natural gas NA out in NJ shore tNA NAt was hit hard by Sandy httptcoGjIMyS6C crazy ,42.10145869,-75.93329492,31,14,13
17,This NAricane is aNA to be crazy HurricaneSandy,41.74471239,-73.93395013,29,15,51
18,Tia NA me NAdou um NA NANAdo eu NA NA com o sandy    NA,48.68836584,-123.4375816,31,13,22
19,Ok  getNA NAl NA out with NAricane Sandy ,41.01624888,-73.65638884,26,20,4
20,Via  VIDEO ImpNANAes NAenes de la NANAccin NA por el NAacn Sandy httptcox5uLmcOr,10.48801,-66.87919,4,1,11
21,My NAt is so NA for the homNAss people amp animNA who hNA NA to go amp no NAuge duNA Sandy NA sleep last night thinking,44.68031016,-63.60376547,30,13,40
22,GetNA NAdy for Hurricane Sandy And by getNA NAdy I mean going to NA  BCTAR Special OpNAtiNA Division httptcoUF3G4fOu,40.92256,-74.01807,27,13,51
23,Goin to sleep Maybe Sandy is a NA in the ass,42.105685,-75.945221,30,3,39
24,wNAground what is the NA best gNAs NA sandy NAl come NA,38.88013562,-76.98843757,27,3,53
25,HalNANA 2012  Frankenstorm Apocalypse  Hurricane Sandy w NA NAs httptcoizn8GmWz,40.78470082,-73.78692627,29,4,47
